Molecule,name,State,Conformation,alpha,squib,commment,
C12H10,biphenyl,1A,D2,19.640,1998Gus/Rui:163,,
C6H15N,triethylamine,1A,C3,13.380,1998Gus/Rui:163,,
C7H16,heptane,1A1,C2v,13.371,1998Gus/Rui:163,,
C14H10,Anthracene,1Ag,D2h,26.700,1998Gus/Rui:163,,
C14H10,Phenanthrene,1A1,C2v,24.779,1998Gus/Rui:163,,
C8H18,Octane,1AG,C2h,15.239,1998Gus/Rui:163,,
(CH3)3CC(CH3)3,tetramethylbutane,1A1,D3d,15.610,1998Gus/Rui:163,,
C16H10,Pyrene,1Ag,D2h,29.720,1998Gus/Rui:163,,
C9H20,Nonane,1A1,C2v,17.370,1998Gus/Rui:163,,
C10H22,Decane,1AG,C2h,19.100,HCP_Polar,,
C24H12,Coronene,1A1G,D6h,42.499,HCP_Polar,,
C60,Buckminsterfullerene,1AG,Ih,79.000,2000Bal/Bon:5732,,
